ANCIENNETE,REVENU_MENSUEL,NB_AFFAIRE,nbr_aff_payante,nbr_aff_gratuite,NB_RPA,NB_AFFAIRE_PP,NB_AFFAIRE_AUTO,NB_AFFAIRE_EDM,NB_aff_digital,NB_CPL,TYPE_CLIENT,CSP_MKT,PHASE_RELATION
103,4892.676952252008,6,5,3,4,5,1,3,1,0,INACTIF,OUVRIER,NOUVEAU
180,1589.447147379798,5,8,1,2,0,3,0,1,3,INACTIF,CADRE,FIDELISE
93,5169.201963712976,4,2,1,0,4,3,1,0,2,INACTIF,ETUDIANT,NOUVEAU
15,8111.939834654378,7,3,2,1,2,3,2,1,1,ACTIF,CADRE,FIDELISE
107,5317.661760887626,7,8,4,0,0,4,4,1,2,INACTIF,OUVRIER,RISQUE
72,1019.9002029609937,3,9,4,0,3,4,3,2,1,ACTIF,OUVRIER,FIDELISE
189,4503.275215615107,7,7,4,2,5,3,4,1,3,ACTIF,CADRE,RISQUE
21,7485.377077825584,3,9,1,4,6,4,0,0,1,INACTIF,ETUDIANT,FIDELISE
103,6591.63434912403,8,5,3,4,3,4,1,1,2,ACTIF,OUVRIER,FIDELISE
122,3820.238206978529,1,2,3,3,3,1,0,0,1,ACTIF,OUVRIER,RISQUE
211,4369.430447201837,5,8,1,4,5,2,3,2,1,ACTIF,OUVRIER,NOUVEAU
215,4678.5826817951665,3,8,0,1,5,3,4,2,2,INACTIF,ETUDIANT,RISQUE
75,4174.57245627414,5,5,1,3,4,4,3,1,2,INACTIF,ETUDIANT,NOUVEAU
203,1440.6522645208356,5,1,4,3,1,1,0,2,0,INACTIF,OUVRIER,FIDELISE
88,7027.1822012397115,2,6,1,3,2,1,4,1,2,ACTIF,ETUDIANT,NOUVEAU
117,8014.1199133781865,7,8,0,3,6,2,3,2,1,ACTIF,CADRE,FIDELISE
100,2463.1021120705195,2,8,1,4,5,1,4,2,3,INACTIF,OUVRIER,RISQUE
104,7987.705865172629,4,2,4,3,1,0,2,0,3,INACTIF,CADRE,NOUVEAU
152,5293.953597205568,5,1,2,1,3,0,0,0,0,INACTIF,ETUDIANT,FIDELISE
131,7950.264696335749,4,4,3,1,6,3,0,1,1,INACTIF,ETUDIANT,NOUVEAU
150,5575.900872580892,4,9,0,0,4,2,2,1,2,ACTIF,CADRE,RISQUE
53,5771.08918431726,5,6,2,1,7,0,1,0,1,ACTIF,ETUDIANT,FIDELISE
2,6244.869293964425,4,2,3,0,7,2,3,2,2,ACTIF,OUVRIER,RISQUE
88,3919.8673497294435,4,3,2,1,0,3,1,1,2,ACTIF,CADRE,FIDELISE
236,7889.348288656043,5,9,1,3,4,1,4,2,2,INACTIF,CADRE,NOUVEAU
158,3257.2387238504302,7,1,1,2,5,1,3,0,0,INACTIF,OUVRIER,NOUVEAU
38,4695.866510966659,6,9,3,3,1,1,3,2,2,ACTIF,ETUDIANT,NOUVEAU
130,6548.529355286338,6,1,3,4,3,0,3,2,1,INACTIF,CADRE,NOUVEAU
192,4481.6095190290725,8,6,1,0,6,2,2,1,0,ACTIF,CADRE,RISQUE
188,7055.062481629888,5,1,1,2,6,0,0,2,0,INACTIF,OUVRIER,FIDELISE
21,8251.732346367913,2,0,3,1,7,4,2,0,3,INACTIF,ETUDIANT,NOUVEAU
161,7525.092002107674,4,3,3,3,6,2,2,2,0,ACTIF,CADRE,NOUVEAU
204,1627.769372642757,6,5,3,0,2,3,2,0,1,ACTIF,ETUDIANT,NOUVEAU
58,5751.693939238715,3,9,4,0,4,0,1,0,3,ACTIF,CADRE,NOUVEAU
22,7557.3652213927835,3,9,4,1,1,1,2,1,2,ACTIF,ETUDIANT,FIDELISE
236,2866.502306355886,5,3,1,0,1,1,0,0,3,ACTIF,CADRE,NOUVEAU
89,6947.22117445775,5,0,4,1,7,1,3,0,0,INACTIF,ETUDIANT,FIDELISE
49,6834.9215632786245,6,0,0,1,0,0,1,1,2,INACTIF,ETUDIANT,RISQUE
219,3075.8202161234694,2,8,1,3,2,0,2,1,2,INACTIF,CADRE,NOUVEAU
59,7168.465331480322,6,0,0,0,7,1,2,1,1,ACTIF,ETUDIANT,NOUVEAU
170,6045.395587059869,4,6,2,4,7,1,3,0,0,ACTIF,ETUDIANT,RISQUE
220,6800.763577442537,3,6,0,4,6,1,3,1,1,ACTIF,OUVRIER,RISQUE
188,3567.375228469735,4,0,2,3,1,4,1,0,0,INACTIF,OUVRIER,NOUVEAU
208,5800.272232742769,2,0,0,3,2,0,0,0,0,INACTIF,OUVRIER,NOUVEAU
15,2090.2428917353527,6,5,2,1,3,1,1,0,2,INACTIF,OUVRIER,RISQUE
190,1000.0,8,7,2,4,5,3,3,1,2,INACTIF,ETUDIANT,FIDELISE
190,5781.6568530555,5,6,1,0,7,1,0,0,3,INACTIF,CADRE,FIDELISE
175,7701.19521352262,6,5,3,4,4,0,2,0,0,ACTIF,CADRE,RISQUE
190,6005.87362853016,5,9,3,3,1,3,2,1,0,INACTIF,OUVRIER,NOUVEAU
51,5373.107872111708,5,2,1,3,3,0,4,1,2,ACTIF,CADRE,NOUVEAU
108,5124.9317598902535,6,6,2,1,7,0,3,0,0,ACTIF,CADRE,NOUVEAU
55,3614.8692171138687,4,5,3,0,0,0,4,0,0,INACTIF,ETUDIANT,RISQUE
64,5056.278192409387,4,7,3,3,2,2,1,0,0,INACTIF,ETUDIANT,RISQUE
131,6343.368936528889,5,3,0,0,5,3,1,1,1,INACTIF,CADRE,FIDELISE
229,4629.5555343987435,5,8,4,4,7,4,0,1,3,INACTIF,ETUDIANT,RISQUE
51,7001.173707671553,4,0,1,1,7,4,3,2,3,ACTIF,OUVRIER,NOUVEAU
135,5891.950067729205,4,6,4,4,7,2,0,1,0,ACTIF,OUVRIER,RISQUE
21,6133.958835546813,7,8,2,3,3,0,0,0,0,ACTIF,CADRE,RISQUE
73,7277.32550710192,5,9,0,3,2,4,1,1,2,INACTIF,CADRE,NOUVEAU
167,4446.489134690019,4,0,3,0,6,3,1,1,3,ACTIF,OUVRIER,NOUVEAU
18,6818.761172373903,3,9,0,3,6,1,3,2,3,ACTIF,CADRE,RISQUE
132,4727.046565496052,9,2,1,0,5,3,1,2,2,ACTIF,CADRE,RISQUE
89,6179.02896763768,6,6,2,2,2,0,3,0,3,ACTIF,ETUDIANT,NOUVEAU
60,4208.457298726863,6,8,0,3,1,3,4,2,1,ACTIF,ETUDIANT,NOUVEAU
14,3678.5923538705356,4,0,0,4,2,0,2,0,2,ACTIF,OUVRIER,RISQUE
9,5683.729491296987,7,5,0,4,3,3,4,0,0,ACTIF,OUVRIER,RISQUE
90,1729.5998959577655,6,1,3,0,0,2,1,0,1,ACTIF,OUVRIER,FIDELISE
53,4907.465112982237,6,4,2,2,1,3,2,0,3,INACTIF,OUVRIER,NOUVEAU
130,2287.2459887816394,2,6,3,3,4,4,2,2,0,ACTIF,OUVRIER,RISQUE
84,7058.468068627216,6,6,0,1,0,1,0,0,3,INACTIF,ETUDIANT,NOUVEAU
92,7600.2211922178285,4,9,3,1,7,2,2,0,3,INACTIF,CADRE,NOUVEAU
111,3772.097557158388,7,6,3,4,3,3,3,1,0,ACTIF,OUVRIER,NOUVEAU
188,6356.625924946993,8,3,1,3,1,0,1,0,0,ACTIF,OUVRIER,NOUVEAU
199,7298.271427374984,6,5,4,1,5,2,1,1,1,ACTIF,ETUDIANT,RISQUE
172,7304.938445003567,3,9,4,0,5,4,0,2,3,INACTIF,ETUDIANT,FIDELISE
8,5928.9016679432825,4,5,1,3,2,1,0,1,2,ACTIF,ETUDIANT,FIDELISE
175,6968.609351122994,5,6,1,4,6,1,1,2,2,ACTIF,ETUDIANT,RISQUE
35,4201.337376159212,3,8,3,2,0,3,0,2,2,INACTIF,CADRE,FIDELISE
206,5666.24493131336,5,5,3,0,1,4,2,1,3,ACTIF,CADRE,NOUVEAU
